,Article Type,URL,Has Tweet Source?,Location Tweet Source,Claims,Original tweets
117,pagination latest,https://www.abc.net.au/news/2020-07-24/coronacheck-black-lives-matter-melbourne-andrew-bolt-masks/12481360,False,,[],[]
118,pagination latest,https://www.abc.net.au/news/2020-07-17/coronacheck-melbourne-masks-are-they-effective/12462034,False,,[],[]
119,pagination latest,https://www.abc.net.au/news/2020-07-16/fact-check-are-there-no-cuts-to-abc-funding/12417226,False,,"[""If you look at the numbers in the budget papers, the ABC's funding is rising. It's all laid out in the budget papers.""]",['No tweets found']
120,pagination latest,https://www.abc.net.au/news/2020-07-10/coronacheck-anthony-albanese-csiro-cuts-covid-19/12438170,False,,[],[]
121,pagination latest,https://www.abc.net.au/news/2020-07-03/coronacheck-anti-vaxxers-flood-online-poll-pete-evans/12415860,False,,[],[]
122,pagination latest,https://www.abc.net.au/news/2020-07-02/fact-check-scott-morrison-slavery-nsw-australia/12407280,False,,"[""I mean, Australia when it was founded as a settlement, as New South Wales,  was on the basis that there'd be no slavery,"", 'And while slave ships continued to travel around the world, when Australia was established yes, sure, it was a pretty brutal settlement. My forefathers and foremothers were on the First and Second Fleets. It was a pretty brutal place, but there was no slavery in Australia.']","['No tweets found', 'Quoted claim exceeds 280 characters']"
123,pagination latest,https://www.abc.net.au/news/2020-06-26/coronacheck-victoria-black-lives-matter-protests-family-spike/12391628,False,,[],[]
124,pagination latest,https://www.abc.net.au/news/2020-06-19/coronacheck-covid-safe-google-android-coronavirus/12367852,False,,[],[]
125,pagination latest,https://www.abc.net.au/news/2020-06-17/fact-check-wa-emergency-powers-vaccination-covid-19/12349842,True,"[""tweet includes a screenshot of Western Australia's declaration of a public health state of emergency and two screenshots that are untitled but mirror the wording of the WA Public Health Act."", 'tweet.', 'tweet was then shared in the Facebook group99% unite Main Group ""it\'s us or them""which is popular with anti-vaccination supporters and had more than 60,000 members at the time of publication.']","['COVID-19 Emergency Powers Act', 'Western Australia — They just passed a Covid 19 Emergency Powers Act That will authorize officers to test & vaccinate children at school — this includes removing their underwear.', ""it's us or them""]","['www.twitter.com/Tolzmusic/status/1252980344581693441', 'No tweets found', 'www.twitter.com/Taylor49er/status/1268907821824761856']"
126,pagination latest,https://www.abc.net.au/news/2020-06-13/coronacheck-mask-wearing-carbon-dioxide-covid-19/12346344,False,,['tear gas'],['www.twitter.com/bfg1963/status/1271422143922913280']
127,pagination latest,https://www.abc.net.au/news/2020-06-12/fact-check-analysis-foreign-workers-visas-457/12334900,False,,"['very, very careful']",['www.twitter.com/babur_aleem/status/1270733762263945219']
128,pagination latest,https://www.abc.net.au/news/2020-06-13/coronacheck-usb-drive-sticker-covid-19/12338622,False,,[],[]
129,pagination latest,https://www.abc.net.au/news/2020-06-10/fact-check-victoria-nsw-covid-19-testing-rates/12312034,True,"['tweetedVictoria had ""the highest per capita testing rate in Australia"".']","['NSW has the highest rate of testing in the world', ""It's something we're incredibly proud of, something we need to maintain,"", 'the highest per capita testing rate in Australia', 'one of the highest']","['No tweets found', 'No tweets found', 'www.twitter.com/JennyMikakos/status/1261830393101078528', 'www.twitter.com/rooshanaziz/status/1270298778877276160']"
130,pagination latest,https://www.abc.net.au/news/2020-06-13/coronacheck-hand-sanitiser-combust-hot-car-fire/12326750,False,,[],[]
131,pagination latest,https://www.abc.net.au/news/2020-06-03/fact-check-migrant-workers-457-temporary-visas/12299180,False,,"['migration program that puts Australian workers first', 'Our post-COVID-19 economic recovery must ensure that Australia shifts away from its increasing reliance on a cheap supply of overseas, temporary labour that undercuts wages for Australian workers and takes jobs Australians could do,', 'bringing in people to flip burgers', ""We've always been very, very careful to prioritise Australians and Australian jobs,"", 'We scrapped the 457 visa program when we came to office, we introduced labour market testing so the Australians would be prioritised for the jobs available.']","['www.twitter.com/maxwalden_/status/1256745782742364161', 'www.twitter.com/EN538474N6/status/1256767263970979840', 'No tweets found', 'No tweets found', 'No tweets found']"
132,pagination latest,https://www.abc.net.au/news/2020-06-13/coronacheck-template/12307030,False,,[],[]
133,pagination latest,https://www.abc.net.au/news/2020-06-13/coronacheck-more-bill-gates-conspiracy-theories-covid-19/12299920,Error while scraping article url. Check article format,['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format']
134,pagination latest,https://www.abc.net.au/news/2020-05-28/fact-check-coronavirus-leaflet-dropped-melbourne/12288054,False,,[],[]
135,pagination latest,https://www.abc.net.au/news/2020-05-26/coronacheck-barnaby-joyce-snake-bite-covid-19-deaths/12282156,False,,[],[]
136,pagination latest,https://www.abc.net.au/news/2020-05-23/coronacheck-covid-19-tests-measles-ebola-cold/12276130,False,,['most secure food security in the world'],['www.twitter.com/ABCFactCheck/status/1262152501123411969']
137,pagination latest,https://www.abc.net.au/news/2020-05-21/has-hydroxychloroquine-helped-australia-flatten-the-death-curve/12256996,False,,['best hope'],['www.twitter.com/J0esm0w/status/1263000355782213633']
138,pagination latest,https://www.abc.net.au/news/2020-05-22/coronacheck-microsoft-crop-circle-covid-a9-coronavirus/12262540,False,,['most vulnerable'],['www.twitter.com/domenicodnz/status/1263448067191300096']
139,pagination latest,https://www.abc.net.au/news/2020-05-20/fact-check-covid-19-virus-names-sars-mers-ebola-hendra-zika/12262472,Error while scraping article url. Check article format,['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format']
140,pagination latest,https://www.abc.net.au/news/2020-05-18/coronavirus-australia-food-security-supermarket-shelves/12244820,False,,"['ridiculous', 'not sensible', 'panic', 'plenty of food to go around', ' the most secure food security in the world', ""We're a nation of 25 million people,"", 'We produce enough food for 75 million.', 'the most secure food security in the world']","['www.twitter.com/KristofHeyndri1/status/1261998726756909062', 'www.twitter.com/TommyBumdell/status/1261624836721426432', 'www.twitter.com/captnwilsvn/status/1261998187272863745', 'www.twitter.com/AllyBongo52/status/1246347430276280320', 'No tweets found', 'www.twitter.com/AgForceQLD/status/1245136454046511104', 'www.twitter.com/Mishka_Says/status/1240355924851605504', 'No tweets found']"
141,pagination latest,https://www.abc.net.au/news/2020-05-16/coronacheck-shanelle-cartwright-flu-vaccination-covid19/12245520,False,,[],[]
142,pagination latest,https://www.abc.net.au/news/2020-05-08/fact-check-being-unemployed-for-a-year-reduces-chances-of-work/12211296,False,,"['Many people lived through the global financial crisis, and almost 10 years later, when we looked at the effectiveness of what was done, we left far too many people behind. The experience was that if you were out of paid work for over a year, then you almost halve your chances of ever getting back into employment.', 'We know from past experience that when someone is unemployed for over a year, their chances of securing paid work typically fall by 40 per cent.']","['Quoted claim exceeds 280 characters', 'No tweets found']"
143,pagination latest,https://www.abc.net.au/news/2020-05-16/coronacheck-number-16/12235726,False,,[],[]
144,pagination latest,https://www.abc.net.au/news/2020-05-16/coronacheck-obama-wuhan-institute-of-virology/12228386,False,,['fair call'],['www.twitter.com/bradhendosports/status/1260926186982526978']
145,pagination latest,https://www.abc.net.au/news/2020-05-07/coronacheck-tasuku-honjo-fake-news-covid-19/12211472,False,,[],[]
146,pagination latest,https://www.abc.net.au/news/2020-05-06/fact-check-is-australia-getting-better-covid19-outcomes-than-nz/12215476,False,,"['state of even more extreme lockdown', ""New Zealand decided to go a lot further, but I'd note that the outcomes we are getting are actually on a per capita basis actually better than what is happening in New Zealand,"", 'decided to go a lot further']","['No tweets found', 'No tweets found', 'www.twitter.com/SallyRMelb/status/1251113293332111362']"
147,pagination latest,https://www.abc.net.au/news/2020-05-02/coronacheck-clive-palmer-hydroxychloroquine-covid-19/12203608,False,,[],[]
148,pagination latest,https://www.abc.net.au/news/2020-05-01/coronacheck-elisa-granato-is-not-dead-covid-19-vaccine/12193636,False,,[],[]
149,pagination latest,https://www.abc.net.au/news/2020-04-28/fact-file-epidemics-and-pandemics-covid-19/12119486,Error while scraping article url. Check article format,['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format']
150,pagination latest,https://www.abc.net.au/news/2020-04-26/coronacheck-boris-johnson-officialsecretsact-covid-19/12177670,False,,[],[]
151,pagination latest,https://www.abc.net.au/news/2020-04-23/fact-check-state-border-closures-australian-constitution-corona/12164440,True,"['Twitter,questioningthe constitutional validity of the move: ""I don\'t think an Australian state can legally close its borders to other Australians under section 117 of the constitution.']","[""I don't think an Australian state can legally close its borders to other Australians under section 117 of the constitution.""]",['No tweets found']
152,pagination latest,https://www.abc.net.au/news/2020-04-26/corona-check-5g-conspiracy-theories/12173846,False,,[],[]
153,pagination latest,https://www.abc.net.au/news/2020-04-26/pete-evans-coronavirus-biocharger-coronacheck/12173738,False,,[],[]
154,pagination latest,https://www.abc.net.au/news/2020-04-26/newsletter-fact-check-coronavirus-is-not-a-bioweapon/12150450,False,,[],[]
155,pagination latest,https://www.abc.net.au/news/2020-04-26/coronacheck-adelaide-ice-rink/12150402,False,,[],[]
156,pagination latest,https://www.abc.net.au/news/2020-04-07/comparing-australia-with-singapore-coronavirus/12107106,Error while scraping article url. Check article format,['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format']
157,pagination latest,https://www.abc.net.au/news/2020-04-09/corona-check-covid-19-misinformation/12128014,False,,[],[]
158,pagination latest,https://www.abc.net.au/news/2020-04-03/fact-file-are-we-turning-coronavirus-corner-flatten-the-curv/12113410,Error while scraping article url. Check article format,['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format']
159,pagination latest,https://www.abc.net.au/news/2020-04-09/coronavirus-newsletter-edition-4/12114166,False,,['super spreaders'],['www.twitter.com/leelava14560149/status/1247791381017313280']
160,pagination latest,https://www.abc.net.au/news/2020-04-01/corona-check-ibuprofen-vaccine-pets/12105792,False,,[],[]
161,pagination latest,https://www.abc.net.au/news/2020-04-01/coronacheck-lions-in-russia-belgium-group-sex-ban/12105894,False,,[],[]
162,pagination latest,https://www.abc.net.au/news/2020-03-30/fact-file-casual-employment-paid-leave-entitlements/12089056,False,,"['has generally been regarded as employment in which there is an absence of entitlement to paid annual leave or sick leave', 'An employee with paid leave entitlements has access to either paid holiday leave or paid sick leave, or both,', 'An employee is considered to be without leave entitlements if they identify as not having access to both paid sick leave and holiday leave, or did not know their entitlements.']","['No tweets found', 'No tweets found', 'No tweets found']"
163,pagination latest,https://www.abc.net.au/news/2020-03-27/coronacheck-coronavirus-misinformation-debunked/12088960,False,,"['apparent', 'Coronavirus Bioweapon–How China Stole Coronavirus From Canada And Weaponized It', 'proves there is no  Fibrosis in the lungs', 'test']","['www.twitter.com/CW9313/status/1243078000335192064', 'www.twitter.com/bindoo_mangat/status/1238612223032885249', 'www.twitter.com/sophyzhang2003/status/1239123344148086784', 'www.twitter.com/catfitz/status/1243086509584060416']"
164,pagination latest,https://www.abc.net.au/news/2020-03-12/fact-check-pauline-hanson-transgender-children-census/12044974,False,,"[""some teachers and schools  pushing the idea that a child's biological sex does not determine whether you are male or female"", 'How many transgender children are there in schools in Australia?', 'According to the 2016 census, just 57 students under the age of 15 identified as transgender.']","['No tweets found', 'No tweets found', 'No tweets found']"
165,pagination latest,https://www.abc.net.au/news/2020-03-06/fact-check-craig-kelly-rainfall-drought/12016214,False,,"['Australia have just had, in 2019, their highest year temperature-wise ever recorded and their driest year ever recorded, with forecasts and temperatures that go back over 100 years.', ""There's a few issues there. Firstly, the first 20 years of this century we've had more rainfall in Australia than  the first 20 years of the last century.""]","['No tweets found', 'No tweets found']"
166,pagination latest,https://www.abc.net.au/news/2020-02-27/who-are--scientists-professionals-who-say-no-climate-emergency/11734966,Error while scraping article url. Check article format,['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format']
167,pagination latest,https://www.abc.net.au/news/2020-02-25/rmit-abc-fact-check-police-sniffer-dogs-update/11994782,False,,[],[]
168,pagination latest,https://www.abc.net.au/news/2020-02-18/fact-check-peter-dutton-arson-250-charged/11971454,False,,"['natural fires', 'We know there are lightning storms that have caused these fires,']","['www.twitter.com/hadyba_/status/1219255390514360320', 'No tweets found']"
169,pagination latest,https://www.abc.net.au/news/2020-02-13/fact-check-barista-vs-coal-mining-jobs/11958124,False,,"[""The Liberals love to dismiss environmentalists as 'latte sipping lefties' that want to take away Australian jobs,"", 'Someone should probably tell them that making lattes provides more Australian jobs than the entire coal industry.']","['No tweets found', 'www.twitter.com/shakytumbleweed/status/1219141453202329600']"
170,pagination latest,https://www.abc.net.au/news/2020-02-04/fact-check-facial-recognition-darker-skin/11781192,Error while scraping article url. Check article format,['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format']
171,pagination latest,https://www.abc.net.au/news/2020-01-31/fact-check-have-bushfires-killed-more-than-a-billion-animals/11912538,False,,"['nationally', ""The 480 million estimate was made a couple of weeks ago, and the fires have now burnt over a large area of further country. That means over 800 million mammals, birds and reptiles have been affected by the fires. Australiawide, it's probably over a billion,""]","['www.twitter.com/FinePointSEO/status/1222817732179030017', 'Quoted claim exceeds 280 characters']"
172,pagination latest,https://www.abc.net.au/news/2020-01-22/prescribed-burning-nsw-backburning-hazard-reduction/11878316,False,,"['completely false to say there has been a lack of prescribed burning', 'Prescribed burning rates have increased markedly,', ""In NSW, the last decade has seen more than twice the amount of prescribed burning compared to the decade before and in all mapped records of prescribed burning across NSW national parks it's the highest decade.""]","['www.twitter.com/maxchalm/status/1214673757194747904', 'www.twitter.com/maxchalm/status/1214673757194747904', 'No tweets found']"
173,pagination latest,https://www.abc.net.au/news/2020-01-15/is-arson-mostly-to-blame-for-the-bushfire-crisis/11865724,False,,[],[]
174,pagination latest,https://www.abc.net.au/news/2019-12-20/hazard-reduction-burns-bushfires/11817336,False,,[],[]
