,Article Type,URL,Has Tweet Source?,Location Tweet Source
63,in-the-red,https://www.abc.net.au/news/2015-12-02/fact-check-turnbull-per-capita-emissions-brazil/6968620,False,
64,in-the-red,https://www.abc.net.au/news/2015-11-18/fact-check-was-super-designed-to-get-people-off-the-pension/6923582,False,
65,in-the-red,https://www.abc.net.au/news/2015-10-30/is-nauru-virtually-a-failed-state/6869648,False,
66,in-the-red,https://www.abc.net.au/news/2015-10-28/fact-check-direct-action-vs-carbon-tax/6847234,False,
67,in-the-red,https://www.abc.net.au/news/2015-10-14/do-eight-of-ten-taxpayers-fund-welfare-bill/6822840,False,
68,in-the-red,https://www.abc.net.au/news/2015-10-02/fact-check-alcohol-advertising-and-misuse-children/6729232,False,
69,in-the-red,https://www.abc.net.au/news/2015-08-17/joe-hockey-550-electricity-prices-carbon-tax-fact-check/6668552,False,
70,in-the-red,https://www.abc.net.au/news/2015-07-09/commuting-times-travel-shorten/6592510,False,
71,in-the-red,https://www.abc.net.au/news/2015-07-02/constitutional-referendum-fact-check-langton/6534674,False,
72,in-the-red,https://www.abc.net.au/news/2015-05-27/how-does-scrapping-the-gst-on-tampons-work/6500774,False,
73,in-the-red,https://www.abc.net.au/news/2015-05-26/source-of-illicit-guns-in-australia/6483762,False,
74,in-the-red,https://www.abc.net.au/news/2015-05-08/panadol-on-the-pbs/6434462,False,
75,in-the-red,https://www.abc.net.au/news/2015-04-14/fact-check-does-halal-certification-fund-terrorism/6383238,False,
76,in-the-red,https://www.abc.net.au/news/2015-04-02/fact-check3a-do-the-states-and-territories-need-to-agree-to-ch/6359212,False,
77,in-the-red,https://www.abc.net.au/news/2015-03-26/fact-check3a-did-the-nsw-libs-cut-243-billion-from-health3f/6301402,False,
78,in-the-red,https://www.abc.net.au/news/2015-03-18/fact-check--australia27s-economic-inheritance/6162670,False,
79,in-the-red,https://www.abc.net.au/news/2015-02-11/fact-check3a-did-labor-cut-246.6-billion-from-higher-educatio/5952452,False,
80,in-the-red,https://www.abc.net.au/news/2015-02-04/hockey-tax/6066142,False,
81,in-the-red,https://www.abc.net.au/news/2015-01-27/fact-check-qld-crime-rates-newman/6009168,False,
82,in-the-red,https://www.abc.net.au/news/2014-11-07/no-adverse-changes-to-superannuation-promise-check/5734364,False,
83,in-the-red,https://www.abc.net.au/news/2014-11-07/week-every-year-in-indigenous-community-promise-check/5696364,False,
84,in-the-red,https://www.abc.net.au/news/2014-11-07/customs-vessell-whaling-promise-check/5695220,False,
85,in-the-red,https://www.abc.net.au/news/2014-11-07/cost-benefit-analysis-promise-check/5850038,False,
86,in-the-red,https://www.abc.net.au/news/2014-10-22/red-cross-ebola-funding-peter-dutton-misleading-fact-check/5826522,False,
87,in-the-red,https://www.abc.net.au/news/2014-10-03/war-not-a-mission-abbott-incorrect-on-iraq-action-fact-check/5772316,False,
88,in-the-red,https://www.abc.net.au/news/2014-09-13/peter-dutton-dementia-facts-flawed/5734256,False,
89,in-the-red,https://www.abc.net.au/news/2014-09-12/tony-abbott-incorrect-on-impact-of-superannuation-changes/5715698,False,
90,in-the-red,https://www.abc.net.au/news/2014-09-09/clive-palmer-wrong-superannuation-access/5721968,False,
91,in-the-red,https://www.abc.net.au/news/2014-08-25/jacqui-lambie-defence-spending-fact-check/5681688,False,
92,in-the-red,https://www.abc.net.au/news/2014-08-12/rupert-murdoch-misleading-north-south-poles/5604656,False,
93,in-the-red,https://www.abc.net.au/news/2014-07-27/no-tax-increases-promise-check/5429922,False,
94,in-the-red,https://www.abc.net.au/news/2014-07-27/permanent-residency-promise-check/5506122,False,
95,in-the-red,https://www.abc.net.au/news/2014-07-27/no-cuts-to-abc-promise-check/5389220,False,
